situation,thought,reframe,thinking_traps_addressed
I was passed over for a new job with a larger company.,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.",I am proud of myself for getting an interview in the first place. Maybe the other person has better interview skills or had experience that aligns more closely with the role. I should see if I can get feedback from the company so I can try to improve for next time.,personalizing
I was passed over for a new job with a larger company.,"I had the qualifications and the experience for this job, yet I was passed over for someone else who had less experience than I.","The other person may have been more qualified than me, even if they have less experience. Maybe I can improve my interview skills for next time.",personalizing
"I was passed over for a small promotion at my place of work. The person who got the promotion was younger and less experienced than me, but a favorite of the boss.",I was angry because I was the better person for the job.,My emotional reactions to not getting something I want are valid and I can decide how to respond next from a rational place,personalizing
"I was passed over for a small promotion at my place of work. The person who got the promotion was younger and less experienced than me, but a favorite of the boss.",I was angry because I was the better person for the job.,There may be many factors at play in a hiring situation that I am not privy to,should statements
I was planning a bachelor party for a friend and some of the people invited were not satisfied with what I was trying to plan.,Why can't they cooperate on this?,"It sounds like there is no way to create a perfect plan for this party, I will continue to try my best to be a good leader.","personalizing,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,blaming"
I was planning a bachelor party for a friend and some of the people invited were not satisfied with what I was trying to plan.,Why can't they cooperate on this?,"My plan is not meeting the needs of everyone involved, I should try collaborating with others or get their input on what plan would be best for everyone.","personalizing,all-or-nothing thinking,negative feeling or emotion,overgeneralizing,blaming"
I was reprimanded at work for standing up to a coworker who was bullying another co-worker.,It was unfair that I was the one to get in trouble for defending a weaker person.,The situation that occurred is complex with a lot of people involved - it's not just a matter of who is in the right and who is in the wrong.,all-or-nothing thinking
I was reprimanded at work for standing up to a coworker who was bullying another co-worker.,It was unfair that I was the one to get in trouble for defending a weaker person.,I can own some responsibility for this conflict that occurred at work.,blaming
I was talking to a friend who got me angry.,He's insulting me.,"I should have a conversation with my friend to clarify what is going on if I am having such a strong reaction to what they said. If this is the first time this has happened, I will assume that they were not intentionally insulting me.","mind reading,labeling,negative feeling or emotion,all-or-nothing thinking,personalizing"
I was talking to a friend who got me angry.,He's insulting me.,"Sometimes people will say things that make me angry and that's okay. If this is a friend I can trust, we should be able to work this out together with a conversation. If not, this may be a sign to distance myself from this friend.","mind reading,labeling,negative feeling or emotion,all-or-nothing thinking,personalizing"
I was talking to my husband about something that happened to me that day.  He kept interrupting and talking over me.  I got up and left the room.,My husband was being a jerk and not listening to me.,I didn't appreciate my husband's behavior. I should talk with him so he knows how I feel when he interrupts or talks over me.,personalizing
I was talking to my husband about something that happened to me that day.  He kept interrupting and talking over me.  I got up and left the room.,My husband was being a jerk and not listening to me.,"While it was not kind of my husband to interrupt me, he may have had something else on his mind and not have been aware that he was interrupting.",personalizing
I was talking with my boyfriend on my lunch break and he started to clean his computer with canned air which made a very loud noise.,Does he not care what I am saying?,"I can't assume why he started to clean his computer, but I can tell him that it's loud and ask him to do it later.","overgeneralizing,personalizing,blaming"
I was talking with my boyfriend on my lunch break and he started to clean his computer with canned air which made a very loud noise.,Does he not care what I am saying?,It's okay that I feel annoyed that he's not paying attention in our conversation. I can ask him if he can clean his computer after we have lunch together.,"personalizing,blaming"
I was told that I don't look as attractive as I used to by my significant other. She told me that she does not like the way that I have been dressing lately and that I should go back to my old style of dressing. I can recall feeling embarrassed and let down with myself. I felt very tiny and as though my relationship was falling apart because she was starting to become very superficial.,What am I doing to deserve this?,I can decide to take or leave their feedback because how I dress is my own expression and may not be for her all the time,emotional reasoning
I was told that I don't look as attractive as I used to by my significant other. She told me that she does not like the way that I have been dressing lately and that I should go back to my old style of dressing. I can recall feeling embarrassed and let down with myself. I felt very tiny and as though my relationship was falling apart because she was starting to become very superficial.,What am I doing to deserve this?,My SO's  opinions of me do not define me,"emotional reasoning,labeling"
I was unable to visit my Mother in the hospital in another state.,I am the worst daughter in the world.,"flights are so expensive, so i could not afford to visit my mother. i am still a good daughter","labeling,all-or-nothing thinking,negative feeling or emotion"
I was unable to visit my Mother in the hospital in another state.,I am the worst daughter in the world.,i will give my mother a call. i'll try to figure out a way to be connected with her,"labeling,all-or-nothing thinking,negative feeling or emotion"
I was up for a promotion at work and did not receive it.,I will be stuck in middle-management for the remainder of my career.,"I did not receive this promotion, but I do good work and hopefully, I will be promoted in the future.","catastrophizing,overgeneralizing,negative feeling or emotion"
I was up for a promotion at work and did not receive it.,I will be stuck in middle-management for the remainder of my career.,"I did not receive this promotion, but this doesn't mean I won't receive one in the future.","fortune telling,catastrophizing,overgeneralizing"
"I was walking in a poorly lit downtown area when a man approached me and asked for money. I told him I had none, and he started cussing me out and following me. I eventually started running and he finally stopped following.",He is going to hurt me,"The man may not have hurt me. I probably am thinking of the worst case scenario. It is good to try to get out of that situation just in case something happens, but I am probably making myself more scared by catastrophizing the situation to be worse than it actually may be.",catastrophizing
"I was walking in a poorly lit downtown area when a man approached me and asked for money. I told him I had none, and he started cussing me out and following me. I eventually started running and he finally stopped following.",He is going to hurt me,"I have no indication that the man is going to hurt me. Maybe he has some other mental health issues or is going to the same direction to ask other people for money. I don't know if he is going to hurt me, and I should focus on dealing with the situation as it comes.",fortune telling
I was with friends and misinterpreted a comment and was upset for the wrong reasons. Turns out I misheard what was said and made a big deal out of nothing.,Why are my friends treating me so harshly?,"It may feel a little harsh with how they are responding, but I was the one that made the mistake. I need to apologize and communicate to them my wish to make things better if I can.","negative feeling or emotion,blaming"
I was with friends and misinterpreted a comment and was upset for the wrong reasons. Turns out I misheard what was said and made a big deal out of nothing.,Why are my friends treating me so harshly?,"My friends are just frustrated with me for what I said. I should just take a step back to calm down, and then I can reach back out and apologize.","personalizing,negative feeling or emotion"
I wave to an acquaintance and get no response.,I don't make a memorable impression on people.,I feel hurt that this person didn't notice me but I know there are plenty of people I feel connected to.,labeling
I wave to an acquaintance and get no response.,I don't make a memorable impression on people.,"There are many reasons they might not have waved back. I'm feeling anxious about it, but this was a very small interaction.",mind reading
I went on a trip and heard a commercial for a kitchen appliance,I feel so anxious maybe I left something turned on in the kitchen,"I'm assuming that just because I feel the fear it must mean that something scary is happening. My feelings are real, but this doesn't mean the threat is real",should statements
I went on a trip and heard a commercial for a kitchen appliance,I feel so anxious maybe I left something turned on in the kitchen,I'm being overly concerned. Everything is going to be alright,should statements
I worried about being late and I almost crashed the car,I worry too much,"Even though I am running late, I can still focus while driving Better getting there safely than not at all",negative feeling or emotion
I worried about being late and I almost crashed the car,I worry too much,My anxiety and worry issues are a problem I am having problems with staying focused while driving,negative feeling or emotion
I yelled at my child for being too fidgety during stories at bedtime.,The kids will never settle down.,I overreacted by yelling. Kids will be kids and they will settle down eventually.,fortune telling
I yelled at my child for being too fidgety during stories at bedtime.,The kids will never settle down.,It is normal for kids to be fidgety at bedtime. There will be nights where they settle down easily and nights where they don't settle down easily like tonight.,"fortune telling,overgeneralizing"
I yelled at my sister for not doing something correctly,There will never be enough time to get everything done,"I am feeling stressed right now, but when things settle down I should be able to manage what I need to do better.","all-or-nothing thinking,catastrophizing,blaming"
I yelled at my sister for not doing something correctly,There will never be enough time to get everything done,It is not my sister's job to get everything done. I need to take ownership of things I want to accomplish too.,blaming
I'm afraid of pregnancy and I think i'm not mentally or emotionally prepared,I can't be a mother,I am afraid to become pregnant but I can do things to prepare myself both emotionally and mentally.  I can be a mother in the future if I choose.,emotional reasoning
I'm afraid of pregnancy and I think i'm not mentally or emotionally prepared,I can't be a mother,No one really knows what the future holds and most mothers feel anxious about their ability to be a good mother.  I won't really know unless I try.  I will work on resolving my fear and anxiety.,fortune telling
"I'm facing an issue, that I love you girlfriend and she loves me back. But I hurt her because I'm manipulative, without really realizing what I'm doing. I make her feel guilty of things that she shouldn't feel so, and if I don't get things my way, I manipulate it so it sounds like it's her fault or she is wrong. I don't do it voluntarily, but I do it too often and it hurts her and me.",I am manipulative,"I don't mean to hurt my girlfriend when I act manipulative, but I need to work on this or she will leave me.",labeling
"I'm facing an issue, that I love you girlfriend and she loves me back. But I hurt her because I'm manipulative, without really realizing what I'm doing. I make her feel guilty of things that she shouldn't feel so, and if I don't get things my way, I manipulate it so it sounds like it's her fault or she is wrong. I don't do it voluntarily, but I do it too often and it hurts her and me.",I am manipulative,I love my girlfriend and she loves me. I need to work on my communication skills with her so she can see that I'm making an effort to not be manipulative.,"labeling,negative feeling or emotion"
I'm failing school,I'm worthless,"Plan B comes in now so I won’t fail: spend extra time on my school work, or get a tutor, or brainstorm other options Retaking a class I fail is not the end of the world I am not giving up on me !!!",comparing and despairing
I'm failing school,I'm worthless,Maybe some tutoring sessions can help me raise my grades,none
I'm feeling suicidal,I can't stop cutting myself,I'm experiencing an unpleasant emotion and that's normal. I can also seek professional help to get me through this,negative feeling or emotion
I'm feeling suicidal,I can't stop cutting myself,It's natural to deal with strong negative emotions. I'm hoping to find less destructive ways of coping with these emotions in the future,negative feeling or emotion
"I'm hanging out with a friend chit chatting, but realizing he's not putting much effort, like usual, into having good conversation.  He just repeats the same thing ad nauseam.","He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.",He is a quieter person but I wonder if it takes him longer to open up.,labeling
"I'm hanging out with a friend chit chatting, but realizing he's not putting much effort, like usual, into having good conversation.  He just repeats the same thing ad nauseam.","He's a nice guy, but I don't want to be friends with him any more as he's putting no effort into not being completely boring.",He is not very chatty conversationally at times but he is a nice person and that means something.,disqualifying the positive
I'm late for the meeting,I never do anything right,Forget that! It is okay to be late to a meeting. Let's not blow this out of proportion.,overgeneralizing
I'm late for the meeting,I never do anything right,"I do some things right and some wrong, just like everyone else. I fouled up on my meeting, but let's not blow this out of proportion",overgeneralizing
I'm late for the meeting,This shows what a jerk I am,"Come on, now, I'm not ""a jerk."" I am generally punctual and enthusiastic about meetings",labeling
I'm late for the meeting,This shows what a jerk I am,"I may have come across as ""a jerk"", but I'll try to be on time for the next meeting",labeling
I'm waiting everyday for the weekend and the holidays. I'm not getting anything productive done.,I can't bring myself to be motivated.,"I'm still getting some work done, even if it's not as much as I want. I'm clearly finding some motivation even though it may not feel like it.",all-or-nothing thinking
I'm waiting everyday for the weekend and the holidays. I'm not getting anything productive done.,I can't bring myself to be motivated.,"If I'm waiting everyday for the weekend and the holidays, that may not be my fault. My job may be unsatisfying/unfulfilling.",negative feeling or emotion
I've been a massive bummer in my personal life and am making people feel bad,I'm worthless,I am not worthless.,"labeling,all-or-nothing thinking"
I've been a massive bummer in my personal life and am making people feel bad,I'm worthless,"I may have shortcomings in my personal life but my professional life is thriving and I am well thought of at work.  Therefore, I am not completely worthless.","labeling,magnification"
I've been applying for jobs and just got a call that someone else filled a position I applied for.,I might never get hired.,I feel anxious about finding a new job but know that eventually things will work out.,catastrophizing
I've been applying for jobs and just got a call that someone else filled a position I applied for.,I might never get hired.,I'm frustrated that I got rejected but will stay committed to finding the right job for me.,overgeneralizing
I've been sitting at my desk for a long time and I haven't been able to get anything done.,I will lose my job eventually.,It will be hard to keep this job if I'm not able to be more productive. I am struggling now but I can and will find a way to do better.,catastrophizing
I've been sitting at my desk for a long time and I haven't been able to get anything done.,I will lose my job eventually.,"This is hard and I'm feeling anxious about my performance. I will try my best, be kind to myself, and find ways to improve.",fortune telling
I've been sitting at my desk for a long time and I haven't been able to get anything done.,Other people are probably doing it better than me.,I'm doing my best. I'm struggling right now but I know I can do this.,comparing and despairing
I've been sitting at my desk for a long time and I haven't been able to get anything done.,Other people are probably doing it better than me.,"I'm having difficulty concentrating and being productive. This makes me feel anxious but I will do my best to ground myself, get things done, and work to be proud of what I accomplish.",comparing and despairing
I've mentioned being sad and no one seems to think its anything serious,No one cares about me,Nobody takes me serious when I share my sad feelings,"overgeneralizing,personalizing"
I've mentioned being sad and no one seems to think its anything serious,No one cares about me,No one cares about my sadness,"overgeneralizing,personalizing,blaming"
In class I feel like others hear my thoughts and judge me. When some things really don't work(for example I have some things for school for tommorow and I can't find how to do that thing after searching hours on internet I get angry and sometimes results to self harm(punching). I sometimes feel like everybody is here just to watch me and see how I react to things(sounds insane).,Am I insane?,"It's ok to feel self-conscious and feel frustrated when I can't figure something, but I may need to get help for the self-harming because that doesn't seem healthy.",labeling
In class I feel like others hear my thoughts and judge me. When some things really don't work(for example I have some things for school for tommorow and I can't find how to do that thing after searching hours on internet I get angry and sometimes results to self harm(punching). I sometimes feel like everybody is here just to watch me and see how I react to things(sounds insane).,Am I insane?,"These behaviors don't make me insane, but they're still concerning and I should probably reach out for help",labeling
It's so hard to study effectively and it takes all the time and energy I have. And then I still don't feel prepared.,I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right,I need to start studying in smaller bites weeks before the exam over and over Practice makes perfect,negative feeling or emotion
It's so hard to study effectively and it takes all the time and energy I have. And then I still don't feel prepared.,I'm so behind and i'm so afraid of the terrible grades I will recieve. I can't do anything right,If I prepare myself ahead of time for the test I won’t feel like such a failure and will get a good grade,none
I’m a drug addict,I feel like I will never be loved in a romantic way because I am not very pretty,"I feel a lot of shame and anxiety about having an addiction, but that doesn't mean I'm going to go crazy. I know I can get the help I need.",emotional reasoning
I’m a drug addict,I feel like I will never be loved in a romantic way because I am not very pretty,"Addiction is challening to overcome, but many people successfully recover. I can focus on what I can control, like getting the help I need.",fortune telling
Last week I found out that my mother had experienced sudden back pain that lasted for a few days  and I somehow worked myself into a very concerned state where I kind of felt like she was going to become completely incapacitated and have to live in a nursing home.,I'm afraid she's going to die soon.,My mother may have experienced sudden back pain because she was gardening for several hours the day before. The back pain is likely a result of the time spent leaning forward and is nothing to worry about.,catastrophizing
Last week I found out that my mother had experienced sudden back pain that lasted for a few days  and I somehow worked myself into a very concerned state where I kind of felt like she was going to become completely incapacitated and have to live in a nursing home.,I'm afraid she's going to die soon.,I have worked myself into a very concerned state over my mother's back pain. I should try calling my mom to check in and ask how her pain is doing. Maybe she will tell me she is feeling slightly better and my worries can be at ease.,emotional reasoning
Last week I made a special dinner at my house for my family to enjoy but I overcooked the food.,after 30 years since I first started learning how to cook I am still ruining meals.,"I prepared a meal for my family, and while I might have overcooked it, it was probably an enjoyable experience for us to spend time together having that meal.","disqualifying the positive,negative feeling or emotion,magnification"
Last week I made a special dinner at my house for my family to enjoy but I overcooked the food.,after 30 years since I first started learning how to cook I am still ruining meals.,"I made a mistake of overcooking the food, it happens to everyone. It is difficult to prepare meals perfectly, every time.","overgeneralizing,negative feeling or emotion"
Last week I talked to a girl at a bar but was rejected by her,I am undesirable,"While I was rejected now, I know I am not undesirable. I have many desirable qualities.","labeling,negative feeling or emotion,all-or-nothing thinking,overgeneralizing"
Last week I talked to a girl at a bar but was rejected by her,I am undesirable,"While I was rejected, that doesn't make me undesirable. This situation does not define me.","labeling,negative feeling or emotion,overgeneralizing"
"Last week my sister and I facetime. I didnt show much interest. Later that day, my cousin told me that my sister was sad because of my behavior.",I made my sister sad,I may have not paid as much attention to my sister as I normally do and it sounds like this made her feel bad. I made a mistake and my sister and I trust each other enough to resolve this,"mind reading,personalizing,overgeneralizing"
"Last week my sister and I facetime. I didnt show much interest. Later that day, my cousin told me that my sister was sad because of my behavior.",I made my sister sad,"My sister would tell me directly if something was bothering her, we can talk through this next time we have a conversation. Sometimes people may feel sad by what I say, and that is mostly out of my control.","mind reading,personalizing,overgeneralizing"
"Last week, my co-worker was invited to participate in a workshop and I was not.",My co-worker is better than me.,"There are many reasons why I was not invited to participate in a workshop, one of which may be that my company does not feel I need training on this topic.","comparing and despairing,personalizing"
"Last week, my co-worker was invited to participate in a workshop and I was not.",My co-worker is better than me.,This one event does not reflect my value as an employee,"labeling,personalizing"
Lost best friend murdered this time of year in 2017.,My parents are judging me,It's normal to feel intense emotion after experiencing something traumatic like this. I can give myself time and space to heal.,emotional reasoning
Lost best friend murdered this time of year in 2017.,My parents are judging me,"This was a horrible thing to go through, but I'll get through this. I've made it this far and I will keep going.",negative feeling or emotion
"Meeting an old friend, that I hadn't seen in 21 years for lunch.","what if i have nothing to say, what if we don't click anymore, what if this goes badly.",it could go badly. it could also go well. who knows,fortune telling
"Meeting an old friend, that I hadn't seen in 21 years for lunch.","what if i have nothing to say, what if we don't click anymore, what if this goes badly.",maybe i'll have fun. we were friends in the past for a reason.,"fortune telling,catastrophizing"
My Dentist told me I'd need a root canal procedure.,I'm going to have to endure some physical and financial pain.,"The root canal will help improve my oral health in the long run, and maybe eating won't hurt so bad!",catastrophizing
My Dentist told me I'd need a root canal procedure.,I'm going to have to endure some physical and financial pain.,My dentist may have some numbing medication so I may not feel the procedure. My insurance is likely to cover at least part of the payment.,fortune telling
My boss interrupted my break to tell me to work,I feel guilty,"I'm feeling guilty, but I don't think I did anything wrong",emotional reasoning
My boss interrupted my break to tell me to work,I feel guilty,"I'm feeling guilty, but this may simply be a feeling and I may not have done anything wrong",emotional reasoning
My boss on the construction site was very mean and aggressive with me.,I must not have been doing a good job,"My boss may be angry about something else, I know I have been doing a good job.",negative feeling or emotion
My boss on the construction site was very mean and aggressive with me.,I must not have been doing a good job,"My boss is in a bad mood, that doesn't mean I am responsible.",personalizing
My boss pointed out an unintentional error in my work,This work is a failure,The presence or absence of an error doesn't make a work a success or a failure. I can fix it and improve,all-or-nothing thinking
My boss pointed out an unintentional error in my work,This work is a failure,This work is going great and a small error shouldn't be of concern. I'll fix it and things will improve.,all-or-nothing thinking
My boss pointed out an unintentional error in my work.,I am incapable of doing anything right.,It's okay for me to make mistakes. I'm only human.,"all-or-nothing thinking,labeling"
My boss pointed out an unintentional error in my work.,I am incapable of doing anything right.,"Making mistakes does not mean that I'm a bad worker, incompetent, or incapable of success.","all-or-nothing thinking,overgeneralizing,labeling,personalizing"
My boss yelled at me,I'm feeling sad,It's okay to feel sad when being yelled at. I will get through this,negative feeling or emotion
My boss yelled at me,I'm feeling sad,"Not a great situation to get yelled at, but everyone does it sometimes",negative feeling or emotion
My boyfriend and I were supposed to go out last night and I got very aggravated at the change of plans and that he pushed back the time.,he didn't respect our initial commitment,it makes sense that i was aggravated because of the changes. it doesnt mean he doesnt respect our initial commitment. something might have come up,negative feeling or emotion
My boyfriend and I were supposed to go out last night and I got very aggravated at the change of plans and that he pushed back the time.,he didn't respect our initial commitment,my boyfriend respects our commitment. something probably came up,negative feeling or emotion
My boyfriend didn't reply back to me instantly.,"If I text my boyfriend too much, he will get bored of me.","My boyfriend didn't reply back to my text right away, therefore he must be busy and will likely text back when he is able.",fortune telling
My boyfriend didn't reply back to me instantly.,"If I text my boyfriend too much, he will get bored of me.","I know my boyfriend typically texts me back right away and has told me he enjoys receiving my texts. However, since he didn't text me back immediately, I will give him time to respond and if he doesn't text back in 1 hr then I will try to reach out again.",mind reading
My boyfriend made fun of me for losing a game. I got upset and we had an argument.,I'm really bad at everything I do.,"There are things in my life that I do well, and I feel confident and proud of those things.","all-or-nothing thinking,labeling"
My boyfriend made fun of me for losing a game. I got upset and we had an argument.,I'm really bad at everything I do.,It's okay for me to lose a game. I can be good at some things and not as good at other things.,"all-or-nothing thinking,overgeneralizing"
My boyfriend told me that I shouldn't clean the bathroom and to go and deal with the kids.,He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,i can do both at the same time.,none
My boyfriend told me that I shouldn't clean the bathroom and to go and deal with the kids.,He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,my boyfriend should deal with the kids right now. i'm busy.,none
My boyfriend went to visit his son and wound up spending the entire day with his son and his son's mother while ignoring my phone calls.,I thought he was cheating on me,It is good my boyfriend is spending time with his son. He will probably call me when he has some free time.,mind reading
My boyfriend went to visit his son and wound up spending the entire day with his son and his son's mother while ignoring my phone calls.,I thought he was cheating on me,"My boyfriend spending time with his son is important to him. Seeing his son and his ex does not mean he is cheating on me, it is a part of co-parenting and my boyfriend still loves me.",mind reading
"My brother and I have been really getting into a lot of fights. This past weekend he blew up again because he thought I was talking over him, but he does it all the time to me. I was upset because of his temper tantrums again, it has been happening too much over the past few or more years. He is supposed to act like an adult now and he isn't. I can't really talk to him anymore because I fear that he will explode, although he does t anyways.",I am so angry that he is such a hypocrite. He doesn't realize he is guilty of the same things he explodes about.,"When my brother isn't have a tantrum, I want to give him feedback about how his behavior makes me feel, and try to repair our relationship.",negative feeling or emotion
"My brother and I have been really getting into a lot of fights. This past weekend he blew up again because he thought I was talking over him, but he does it all the time to me. I was upset because of his temper tantrums again, it has been happening too much over the past few or more years. He is supposed to act like an adult now and he isn't. I can't really talk to him anymore because I fear that he will explode, although he does t anyways.",I am so angry that he is such a hypocrite. He doesn't realize he is guilty of the same things he explodes about.,I'm upset with my brother's behavior and it's difficult to have a relationship with him. I can set boundaries with how often I talk with him or engage with him.,none
My crush doesn't like me back,Never finding love,This person I liked didn't like me back.  I am worthy of being loved and it will happen when the time is right.  There are plenty of people that I haven't even met yet who could love me.,all-or-nothing thinking
My crush doesn't like me back,Never finding love,Just because the person I like doesn't like me back doesn't mean I won't ever find love again.  I know that I will eventually find someone I love and who loves me back.   I just need to be patient.,overgeneralizing
My dad is in the next room in his hospice bed and im afraid of not doing everything right.,Am I doing enough,"I care about my dad a lot and and I want to do what's best for him. I might not be perfect all the time, but I know I'm doing the best I can.","negative feeling or emotion,magnification"
My dad is in the next room in his hospice bed and im afraid of not doing everything right.,Am I doing enough,"When I worry whether or not I'm doing enough, I am going to ask my dad to help me make a list of what he regularly needs during the day and things I can do that would make him feel comfortable.",personalizing
My daughter lied to me about a photo on her phone because she was embarrassed,she doesnt want to share things with me,My daughter may not be ready to share this with me right now. She is embarrassed and may come to me when she is ready.,overgeneralizing
My daughter lied to me about a photo on her phone because she was embarrassed,she doesnt want to share things with me,"My daughter is embarrassed. That is why she does not want to share this with me. There are likely other things she wants to share with me, but she will not want to share everything with me right away. That is part of growing up, and that is OK.",personalizing
My daughter refused to do anything I instructed her to and embarrassed me greatly before guests I was hosting.,"If I cannot control her now, I have lost her perhaps forever",I am not a bad parent just because of this experience. I'm trying my best and that's ok.,"overgeneralizing,catastrophizing"
My daughter refused to do anything I instructed her to and embarrassed me greatly before guests I was hosting.,"If I cannot control her now, I have lost her perhaps forever",I am not going to lose my daughter because of this behavior. This is standard child behavior.,"overgeneralizing,catastrophizing"
My daughter spilled a drink on my desk.,She ruined my project,"I should have been watching my daughter more closely if I knew she had her drink close to my desk and I knew I had an important project there. I should not be upset with her, mistakes happen and I know better for next time.",blaming
My daughter spilled a drink on my desk.,She ruined my project,"I should not have had my daughter have her drink so close to my project. She should have been more careful, but  I could have prevented this in the first place.",blaming
My daughter's illness,worry about a disabled family member,I’d like to empower my daughter to help her advocate for her own healthcare issues Meanwhile I can research her illness to better understand what she is going thru,negative feeling or emotion
My daughter's illness,worry about a disabled family member,I worry about my daughter and her illness and I need to sit down with her to see how I can support her,none
My diet is not working,I feel like a failure,"Feelings may not be a representation of what is actually happening. I think I am thinking that because I feel like a failure I must be a failure, which may not be true",emotional reasoning
My diet is not working,I feel like a failure,"I'm feeling like a failure, but I may well be on the road to success in reality",emotional reasoning
My father was being abusive to me,I can't do anything right. I am a disappointment.,"These negative emotions are there to protect me, but I can also learn to open myself up to positive experiences in the future.",fortune telling
My father was being abusive to me,I can't do anything right. I am a disappointment.,It's natural to want to protect myself after experiencing abuse. Not everyone is like my father. I can get the help I need to be open to healthy relationships.,overgeneralizing
My financial situation is going out of hand,I'm worried about my future,I have been in difficult financial situations before and turned them around.  I have learned from those experiences and I have something to learn from my current situation that could change my future circumstances.,fortune telling
My financial situation is going out of hand,I'm worried about my future,I have made positive changes in other areas of my financial picture.  Opting for payroll deductions into the company's pension plan will help to alleviate my concerns about the future.,disqualifying the positive
My first boyfriend and I broke up a few years ago,My partner will leave me if my depression doesn't go away soon.,Did boyfriend 6 yrs ago leave due to the  your depression too?,fortune telling
My first boyfriend and I broke up a few years ago,My partner will leave me if my depression doesn't go away soon.,He needs to be more support of you with your depression,mind reading
My friend and I had made plans months ago to go to a basketball game. The day before the game he calls me and says he cant go because he forgot he made plans with his wife. I started yelling at him and told him these tickets were expensive and you promised me. I was really angry for cancelling last minute because he has done this in the past,I get upset when people cant keep there promises. The plans he made were not that critical. Why put me in a tough bind,I am a person that values keeping commitments but not everyone has the lifestyle or ability to skillfully do that.,"blaming,personalizing,negative feeling or emotion"
My friend and I had made plans months ago to go to a basketball game. The day before the game he calls me and says he cant go because he forgot he made plans with his wife. I started yelling at him and told him these tickets were expensive and you promised me. I was really angry for cancelling last minute because he has done this in the past,I get upset when people cant keep there promises. The plans he made were not that critical. Why put me in a tough bind,"I am hurt that my friend canceled our plans.  But, I am mainly distressed that it put me in a tough financial bind. Maybe I should reach out to him to see if he would still be willing to pay for his ticket since he backed out without giving me enough time to sell it to someone else.","personalizing,negative feeling or emotion"
"My friend and I were looking at apartments. His first choice for apartments was one that was too small for my life goals, as I could not set up an office in it. He wanted the better room in the apartment.",He only cares about himself.,I want to live with this friend because he has many good qualities and finding house is just very stressful,"disqualifying the positive,overgeneralizing"
"My friend and I were looking at apartments. His first choice for apartments was one that was too small for my life goals, as I could not set up an office in it. He wanted the better room in the apartment.",He only cares about himself.,We both wanted the better room in the apartment for our own reasons which may just mean this is not  a good apartment for us,overgeneralizing
"My friend asked for advice, but I was unable to provide it",I'm completely self-centered and thoughtless,I may have come across as self-centered and thoughtless. But I'm happy that my friend still sought my advice,all-or-nothing thinking
"My friend asked for advice, but I was unable to provide it",I'm completely self-centered and thoughtless,"I'm quite thoughtful. I was just not able to provide advice this time, but I'm generally good",all-or-nothing thinking
My friend asked for help and I denied,I'm self-centered,"I may be ""self-centered"" but I did the right thing",labeling
My friend asked for help and I denied,I'm self-centered,"Just because I refused to help a friend, doesn't mean I'm ""self-centered""",labeling
My friends invited me to go bowling this Saturday,I bet all my friends will be amazing at bowling apart from me,I'm going to beat all my friends tomorrow. Let me start practicing now,mind reading
My friends invited me to go bowling this Saturday,I bet all my friends will be amazing at bowling apart from me,"I'm predicting that my friends will all do better, but I will only know it on Saturday",mind reading
My girlfriend came home later than usual after work and didn't bother to call and let me know or answer the phone when I called to check on her. She acted like it was not big deal after she came home.,My girlfriend is hiding something from me.,I am feeling hurt by her actions and can discuss that with her rather than try to analyze her behavior,emotional reasoning
My girlfriend came home later than usual after work and didn't bother to call and let me know or answer the phone when I called to check on her. She acted like it was not big deal after she came home.,My girlfriend is hiding something from me.,My girlfriend may have been very busy at work today and I can talk with her about how this made me feel,"overgeneralizing,catastrophizing"
My girlfriend is getting a new job in a distant city.,This is going to cause us to break up.,I'm anxious that my partner's relocation could damage our relationship.,catastrophizing
My girlfriend is getting a new job in a distant city.,This is going to cause us to break up.,My girlfriend cares about me and we will figure this out together,catastrophizing
My girlfriend said I was a taker when I said she did not emotionally support me before going to a movie last Saturday.,My girlfriend will leave me.,she will not leave me. this is something that can make our relationship stronger.,"fortune telling,catastrophizing,mind reading"
My girlfriend said I was a taker when I said she did not emotionally support me before going to a movie last Saturday.,My girlfriend will leave me.,"This is one argument. We can talk more about this when I get home,","fortune telling,catastrophizing,mind reading,negative feeling or emotion"
My girlfriend was distracted by other men at the gym.,I'm not attractive enough.,My partner is attracted to me otherwise she would not be in a relationship with me,"mind reading,personalizing"
My girlfriend was distracted by other men at the gym.,I'm not attractive enough.,People are attracted to other people without taking action on it or thinking less of their monogamous partners,"overgeneralizing,personalizing"
My girlfriend was ignoring me for a while.,She didn't like me anymore.,"If my girlfriend doesn't like me anymore, I trust that she will tell me that and not just ignore me. Guessing at what others are thinking is not fair to either one of us.","mind reading,negative feeling or emotion,all-or-nothing thinking,overgeneralizing,labeling,fortune telling,personalizing"
My girlfriend was ignoring me for a while.,She didn't like me anymore.,"My girlfriend has not responded, but I should be patient and not jump to conclusions about what this means until I talk to her","mind reading,negative feeling or emotion,all-or-nothing thinking,overgeneralizing,labeling,fortune telling,personalizing"
